 ElephantHeartbeat , BloodOxygen , BodyTemperature ,HealthStatus
36.56,98.01,36.42,Healthy
28.17,96.12,36.17,Healthy
34.53,98.6,36.41,Healthy
39.57,97.72,36.88,Healthy
37.75,95.41,36.87,Healthy
27.88,96.68,36.88,Healthy
37.86,95.97,37.11,Healthy
35.97,95.46,36.27,Healthy
37.62,98.19,36.11,Healthy
39.14,97.13,36.72,Healthy
26.96,98.04,36.79,Healthy
32.5,96.8,36.82,Healthy
25.29,95.21,36.3,Healthy
30.94,96.98,37.02,Healthy
35.77,98.5,36.25,Healthy
33.9,99.92,36.65,Healthy
29.88,95.41,36.76,Healthy
34.09,97.74,36.15,Healthy
27.47,97.11,36.7,Healthy
34.88,97.1,36.24,Healthy
29.54,99.4,36.17,Healthy
26.53,98.44,36.29,Healthy
35.85,96.05,36.95,Healthy
35.26,96.9,36.52,Healthy
26.75,99.63,36.14,Healthy
28.81,98.28,36.99,Healthy
36.19,98.2,37,Healthy
26.63,95.06,36.72,Healthy
32.56,95.15,36.78,Healthy
34.07,97.74,37.01,Healthy
38.73,99.71,36.87,Healthy
26.87,97.76,36.58,Healthy
27.68,99.58,36.52,Healthy
27.82,97.64,36.21,Healthy
31.17,96.17,36.69,Healthy
34.09,98.8,36.29,Healthy
25.29,95.2,36.72,Healthy
28.16,97.28,36.56,Healthy
37.85,96.64,36.7,Healthy
33.3,96.67,36.55,Healthy
36.65,95.82,36.28,Healthy
34.34,96.05,36.49,Healthy
32.37,99.05,37.13,Healthy
38.96,98.11,36.33,Healthy
31.83,96.42,36.7,Healthy
34.27,99.9,36.97,Healthy
25.34,95.83,36.37,Healthy
26.48,95.29,37.14,Healthy
30.83,96.99,36.24,Healthy
29.61,95.01,37.15,Healthy
28,95.69,36.4,Healthy
35.54,98.09,37.01,Healthy
32.59,98.79,36.77,Healthy
30.45,95.63,36.65,Healthy
32.03,98.86,36.51,Healthy
39.97,97.4,37.2,Healthy
27.75,95.18,36.45,Healthy
28.38,99.51,36.9,Healthy
25.84,97.93,36.46,Healthy
37.34,97.3,36.95,Healthy
35.46,96.64,36.82,Healthy
38.1,95.68,36.41,Healthy
26.87,98.89,36.25,Healthy
36.78,99.61,36.63,Healthy
38.55,96.76,36.4,Healthy
39.23,99.03,36.12,Healthy
27.87,99.87,36.85,Healthy
27.67,96,36.64,Healthy
32.31,99.75,36.69,Healthy
27.2,97.19,36.89,Healthy
34.92,98.52,36.48,Healthy
31.45,96.69,36.78,Healthy
30.47,98.25,36.57,Healthy
26.4,95.88,36.77,Healthy
35,97.57,36.29,Healthy
26.53,95.17,36.68,Healthy
30.1,98.62,37.14,Healthy
39.36,96.72,36.6,Healthy
28.62,98.48,36.73,Healthy
30.51,99.87,36.51,Healthy
34.19,96.52,36.69,Healthy
31.5,95.81,36.49,Healthy
35.83,96.92,36.39,Healthy
38.35,98.37,37.1,Healthy
31.59,97.63,36.71,Healthy
34.92,95.69,37.03,Healthy
36.81,96.01,36.91,Healthy
35.4,98.32,36.15,Healthy
26.48,96.18,36.91,Healthy
36.39,99.33,36.21,Healthy
33.32,96.08,36.82,Healthy
33.21,95.6,36.77,Healthy
35.15,95.49,36.96,Healthy
25.35,96.62,36.42,Healthy
31.44,96.39,36.12,Healthy
27.62,95.84,37.19,Healthy
30.72,95.67,36.66,Healthy
32.73,95.06,36.71,Healthy
38.87,98.93,36.29,Healthy
33.51,98.83,36.64,Healthy
28.73,96.46,36.63,Healthy
30.74,99.04,36.73,Healthy
38.23,97.05,36.59,Healthy
25.89,98.02,36.63,Healthy
31.13,98.79,36.48,Healthy
38.1,96.62,37.06,Healthy
39.41,96.55,36.55,Healthy
31.77,99.39,36.47,Healthy
29.63,96.4,36.42,Healthy
28.38,99.72,36.27,Healthy
33.55,96.74,37.04,Healthy
27.25,96.42,36.29,Healthy
25.53,99.45,36.94,Healthy
28.3,99.45,36.35,Healthy
36.84,96.7,37.09,Healthy
26.81,99.74,36.31,Healthy
32.02,97.32,36.73,Healthy
36.73,99.01,36.91,Healthy
27.94,95.09,36.79,Healthy
30.27,97.12,37.13,Healthy
35.51,95.74,37.07,Healthy
39.82,98.84,36.95,Healthy
39.6,98.4,36.36,Healthy
38.91,97.54,36.29,Healthy
32.4,98.75,36.9,Healthy
31.95,95.77,36.42,Healthy
26.4,97.8,36.16,Healthy
35.57,99.7,36.12,Healthy
32.89,96.04,37.13,Healthy
33.02,98.71,37.03,Healthy
38.18,97.87,36.54,Healthy
29.3,97.46,36.73,Healthy
29.76,97.58,36.58,Healthy
31.44,98.69,36.61,Healthy
27.6,95.89,36.24,Healthy
32.06,99.42,36.44,Healthy
28.64,98.75,36.61,Healthy
38.38,95.83,36.44,Healthy
39.24,97.53,36.28,Healthy
28.3,97.95,36.22,Healthy
32.11,98.33,36.32,Healthy
38.52,99.17,36.52,Healthy
29.67,98,36.99,Healthy
30.93,95.12,36.29,Healthy
32.15,95.81,36.6,Healthy
32.82,97.06,36.31,Healthy
39.84,97.97,36.89,Healthy
31.86,99.7,36.56,Healthy
39.53,95.61,36.23,Healthy
34.31,99.31,36.23,Healthy
26.51,97.78,36.77,Healthy
27.54,96.83,36.37,Healthy
38.22,98.68,36.47,Healthy
35.1,99.49,36.49,Healthy
28.68,97.4,36.48,Healthy
35.42,95.16,37,Healthy
38.07,95.73,36.6,Healthy
31,99.43,36.77,Healthy
26.18,98.12,36.31,Healthy
28.85,99.06,36.56,Healthy
34.07,98.47,36.29,Healthy
35.87,98.26,36.4,Healthy
31.23,95.19,36.25,Healthy
33.67,95.65,37.11,Healthy
26.79,96.71,36.79,Healthy
27.95,95.49,36.47,Healthy
25.03,98.17,36.97,Healthy
27.78,99.81,36.96,Healthy
32.13,99.65,37.13,Healthy
27.3,95.9,36.19,Healthy
38.4,95.55,37.14,Healthy
32.92,97.1,36.41,Healthy
33.21,95.32,36.4,Healthy
38.68,99.94,36.39,Healthy
36.29,98.76,37.1,Healthy
38.85,96.24,37.13,Healthy
26.93,95.5,37.14,Healthy
30.15,98.99,36.45,Healthy
33.95,99.25,36.29,Healthy
31.08,96.04,36.19,Healthy
35.59,96.12,36.37,Healthy
26.18,95.68,37.08,Healthy
37.59,95.93,36.52,Healthy
39.59,99.77,36.45,Healthy
36.19,96.01,36.88,Healthy
31.56,97.48,36.64,Healthy
34.35,96.89,37.15,Healthy
28.29,95.84,36.54,Healthy
38.84,99.23,36.64,Healthy
26.87,95.77,37.1,Healthy
39,96.4,36.15,Healthy
32.06,96.35,36.54,Healthy
39.24,96.7,36.92,Healthy
27.25,99.51,37.01,Healthy
37.53,98.89,36.36,Healthy
35.32,98.35,36.52,Healthy
31.05,99.42,36.53,Healthy
35.7,97.59,36.2,Healthy
36.93,99.5,36.24,Healthy
39.45,99.83,36.67,Healthy
25.27,96.13,37.19,Healthy
31.76,96.7,37.18,Healthy
29.38,98.41,36.48,Healthy
26.53,96.56,36.73,Healthy
27.97,99.96,36.71,Healthy
30.09,98.05,36.93,Healthy
37.07,96.86,37.08,Healthy
25.93,97.63,37.19,Healthy
33.37,98.9,36.74,Healthy
33.87,95.7,36.37,Healthy
37.41,97.61,37.03,Healthy
30.68,96.16,37.17,Healthy
25.89,95.92,36.42,Healthy
35.76,95.85,36.8,Healthy
36.16,95.28,36.44,Healthy
39.27,97,36.11,Healthy
25.18,96.38,37.09,Healthy
39.82,97.33,36.35,Healthy
27.98,96.81,36.64,Healthy
38.81,98.5,36.64,Healthy
37.36,99.45,36.15,Healthy
31.99,95.97,37.17,Healthy
33.97,97.93,36.37,Healthy
36.09,97.93,37.08,Healthy
37.13,95.72,36.96,Healthy
39.48,98.95,36.51,Healthy
31.94,98.9,36.59,Healthy
31.54,99.91,37.13,Healthy
29.63,98.29,36.44,Healthy
27.11,99.61,37.17,Healthy
35.52,98.51,36.91,Healthy
35.96,97.64,36.16,Healthy
33.93,97.66,36.42,Healthy
37.67,98.01,36.49,Healthy
37.17,99.54,36.28,Healthy
37.18,97.47,36.27,Healthy
38.78,97.91,36.5,Healthy
31.43,95.75,36.27,Healthy
37.59,96.19,36.63,Healthy
33.07,99,36.27,Healthy
37.19,98.85,36.37,Healthy
28.11,98.09,37.11,Healthy
27.47,98.41,36.65,Healthy
37.47,96.51,36.95,Healthy
26.09,96.59,36.46,Healthy
31.15,98.63,36.48,Healthy
34.79,98.6,36.57,Healthy
34.09,98.61,36.65,Healthy
34.99,99.07,36.74,Healthy
38.39,97.84,36.42,Healthy
29.85,97.35,37.13,Healthy
30.92,96.97,36.54,Healthy
33.58,96.05,36.68,Healthy
29.52,99.3,36.74,Healthy
29.29,95.44,36.89,Healthy
26.11,95.04,36.66,Healthy
36.24,98.62,37.05,Healthy
33.7,95.91,36.9,Healthy
37.38,97.2,36.5,Healthy
27.38,97.33,36.64,Healthy
36.71,99.87,36.22,Healthy
31.54,97.12,36.78,Healthy
25,99.51,37.05,Healthy
32.05,97.58,36.24,Healthy
36.02,97.2,36.16,Healthy
33.95,96.37,37.03,Healthy
38.14,96.86,36.96,Healthy
27.64,95.87,36.46,Healthy
29.9,96.94,37.09,Healthy
39.89,98.42,36.76,Healthy
28.24,98.72,36.82,Healthy
35.3,99.2,36.65,Healthy
32.03,98.12,36.57,Healthy
32.65,96.36,36.15,Healthy
25.86,99.09,36.43,Healthy
25.25,96.43,36.98,Healthy
25.61,98.62,36.6,Healthy
37.2,97.06,36.25,Healthy
39.91,97.77,36.23,Healthy
38.49,95.31,37,Healthy
27.03,97.44,37.01,Healthy
33.52,98.64,36.56,Healthy
34.91,99.89,37.13,Healthy
39.11,98.43,36.2,Healthy
26.08,95.14,36.87,Healthy
36.7,96.97,36.2,Healthy
30.79,95.22,36.67,Healthy
34.91,98.09,36.16,Healthy
38.73,99.19,36.54,Healthy
31.35,98.1,36.88,Healthy
33.57,98.32,37.14,Healthy
26.26,98.52,36.81,Healthy
29.02,96.69,36.83,Healthy
29.73,97.27,36.43,Healthy
28.04,97.99,36.79,Healthy
32.78,97.82,37.03,Healthy
28.93,96.88,36.97,Healthy
36.25,95.41,37.01,Healthy
25.81,97.08,37.19,Healthy
25.24,99.47,36.71,Healthy
25.45,96,37.02,Healthy
38.49,96.72,36.28,Healthy
37.41,96.95,36.23,Healthy
29.06,97.36,36.12,Healthy
36.69,98.52,36.43,Healthy
36.11,97.96,36.75,Healthy
35.48,98.05,37.05,Healthy
28.59,98.29,37.09,Healthy
32.89,95.89,36.26,Healthy
38.97,95.37,36.4,Healthy
36.14,97.72,36.69,Healthy
37.84,97.33,36.5,Healthy
34.26,97.6,36.21,Healthy
36.63,96.68,37.11,Healthy
36.54,99.99,36.73,Healthy
34.02,98.41,36.69,Healthy
31.65,98.26,36.42,Healthy
39.93,95.95,36.19,Healthy
26.23,95.15,36.75,Healthy
36.18,99.28,37.2,Healthy
30.02,98.55,36.64,Healthy
38.87,96.92,37.04,Healthy
38.85,96.16,36.84,Healthy
34.14,97.96,36.12,Healthy
33.22,96.51,36.27,Healthy
37.83,97.78,37.03,Healthy
39.84,98.8,37,Healthy
33.58,98.92,36.25,Healthy
29.17,98.76,36.96,Healthy
26.88,99.01,37.08,Healthy
27.57,97.86,36.29,Healthy
27.06,99.53,37.12,Healthy
26.06,98.63,36.17,Healthy
25.17,95.93,36.5,Healthy
37.03,99.25,36.68,Healthy
27.36,95.33,36.26,Healthy
39.33,95.58,36.19,Healthy
39.9,98.03,36.85,Healthy
29.8,96.42,36.79,Healthy
31.32,97.87,36.57,Healthy
35.8,99.23,36.74,Healthy
28.3,96.43,36.11,Healthy
28.14,97.07,36.18,Healthy
26.13,96.86,36.24,Healthy
36.29,97.79,36.56,Healthy
31.85,97.35,36.71,Healthy
38.6,96.39,36.4,Healthy
35.87,98.42,36.49,Healthy
35.96,98.13,36.55,Healthy
33.36,99.71,37.19,Healthy
27.12,99.84,36.2,Healthy
37.34,98.62,36.67,Healthy
34.32,97.97,36.49,Healthy
29.06,98.68,36.93,Healthy
31.59,97.92,36.54,Healthy
32.06,96.52,36.66,Healthy
35.15,95.58,37.18,Healthy
39.41,99.57,36.77,Healthy
34,95.31,36.71,Healthy
26.03,96.98,36.55,Healthy
27.08,98.44,36.44,Healthy
25.66,96.45,37.17,Healthy
29.96,99.73,36.38,Healthy
29.83,99.95,37.11,Healthy
30.49,97.97,36.14,Healthy
37.22,99.26,36.27,Healthy
35.1,96.57,36.4,Healthy
30.65,96.48,36.4,Healthy
33.61,99.57,36.21,Healthy
29.47,98.88,37.12,Healthy
39.91,98.7,36.27,Healthy
36.4,96.08,37.15,Healthy
25.38,98.94,37.16,Healthy
25.5,98.78,37.15,Healthy
29.47,95.24,36.39,Healthy
39.47,97.87,37.08,Healthy
38.59,98.01,36.99,Healthy
33.81,98.7,36.21,Healthy
35.46,98.89,36.47,Healthy
39.54,97.82,36.53,Healthy
37.53,97.57,36.88,Healthy
35.5,99.02,36.28,Healthy
29.48,95.43,36.27,Healthy
30.19,97.51,36.23,Healthy
29.45,96.62,36.69,Healthy
31.63,97.63,36.15,Healthy
25.81,98.35,36.23,Healthy
35.52,97.36,36.82,Healthy
32.86,96.68,36.65,Healthy
25.2,96.98,36.48,Healthy
26.86,98.14,36.27,Healthy
38.34,98.12,36.48,Healthy
35.71,99.08,36.71,Healthy
36.45,95.34,36.38,Healthy
39,97.61,36.58,Healthy
37.68,96.03,36.72,Healthy
32.84,96,36.48,Healthy
34.87,97.37,36.7,Healthy
30.56,99.54,36.83,Healthy
37.9,97.24,36.32,Healthy
30.28,96.84,36.45,Healthy
32.06,98.43,36.68,Healthy
27.03,97.03,36.38,Healthy
25.36,96.66,37.11,Healthy
30.43,95.41,36.8,Healthy
27.45,99.71,36.11,Healthy
28.27,98.23,37.13,Healthy
33.26,96.99,36.48,Healthy
37.67,98,36.11,Healthy
27,98.73,36.92,Healthy
33.12,97.43,36.46,Healthy
33.98,99.15,37.09,Healthy
25.48,99.06,36.83,Healthy
37.87,96.33,37.1,Healthy
29.82,95.41,37.06,Healthy
36.3,98.82,36.76,Healthy
38.68,97.36,36.18,Healthy
27.25,98.88,37.12,Healthy
36.78,98.65,36.41,Healthy
36.69,96.04,36.27,Healthy
32.13,96.45,36.15,Healthy
34.8,96.32,36.68,Healthy
31.88,96.61,37.11,Healthy
39.86,95.12,36.51,Healthy
32.57,95.75,36.69,Healthy
31,95.1,36.65,Healthy
37.43,97.09,36.93,Healthy
39.6,99.76,36.87,Healthy
38.22,99.63,36.99,Healthy
36.56,96.28,36.73,Healthy
37.21,98.29,36.15,Healthy
28.27,96.8,36.22,Healthy
34.01,98.21,36.67,Healthy
28.12,96.65,36.51,Healthy
26.96,98.12,36.93,Healthy
29.83,97,36.11,Healthy
29.64,97.76,36.15,Healthy
39.16,96.69,37.16,Healthy
25.52,97.17,36.91,Healthy
31.98,99.09,36.36,Healthy
27.63,95.79,37.12,Healthy
39.5,98.66,36.63,Healthy
39.19,95.29,36.15,Healthy
27.18,96.76,36.64,Healthy
27.11,98.21,36.33,Healthy
29.55,99.72,36.9,Healthy
25.53,98.97,36.67,Healthy
34.98,95.85,37.05,Healthy
36.56,97.67,36.4,Healthy
29.39,97.38,36.96,Healthy
27.67,96.79,36.49,Healthy
36.73,96.03,36.79,Healthy
28.93,97.55,36.56,Healthy
29.14,95.74,36.41,Healthy
35.2,99.86,37.12,Healthy
36.05,95.28,36.41,Healthy
39.03,99.19,36.23,Healthy
31.54,98.24,36.58,Healthy
30.3,95.27,36.91,Healthy
36.88,99.87,36.88,Healthy
38.58,98.43,36.47,Healthy
36.26,97.84,36.75,Healthy
33.1,97,36.51,Healthy
26.38,99.62,36.47,Healthy
36.69,98.37,36.91,Healthy
34.87,97.39,36.12,Healthy
28.91,97.89,36.61,Healthy
37.9,97.38,37.13,Healthy
34.36,98.87,36.75,Healthy
34.67,97.94,36.2,Healthy
28.93,96.3,36.83,Healthy
30.51,96.34,36.3,Healthy
35.46,98.96,36.32,Healthy
29.77,96.61,36.46,Healthy
29.02,97.25,36.46,Healthy
39.25,98.32,36.98,Healthy
31.36,96.68,36.67,Healthy
28.78,99.2,36.98,Healthy
27.82,99.4,37.12,Healthy
33.37,99.91,36.57,Healthy
30.75,99.65,37,Healthy
37.18,98.86,36.73,Healthy
28.81,98.31,36.37,Healthy
38.75,99.54,36.39,Healthy
39.9,96.06,36.92,Healthy
27.66,96.39,37.11,Healthy
33.29,96.62,36.34,Healthy
33.82,96.48,36.37,Healthy
39.15,98.03,37.15,Healthy
27.25,95.98,36.2,Healthy
39.99,98.63,36.76,Healthy
28.71,96.2,36.58,Healthy
29.3,95.49,36.26,Healthy
26.64,96.18,36.4,Healthy
35.61,95.04,36.59,Healthy
29.42,97.52,37.12,Healthy
31.54,97.06,36.9,Healthy
33.02,99.26,36.82,Healthy
38.37,96.21,36.2,Healthy
32.57,98.61,36.59,Healthy
28.33,97.96,36.49,Healthy
33.77,98.59,36.39,Healthy
25.62,98.01,36.79,Healthy
26.3,98.1,37.02,Healthy
39.44,95.62,36.68,Healthy
38.32,99.64,36.28,Healthy
35.69,99.13,36.93,Healthy
34.76,96.85,37.2,Healthy
39.94,96.05,36.4,Healthy
26.51,96,36.85,Healthy
38.44,95.63,36.38,Healthy
38.98,98.03,37.11,Healthy
34.21,98.33,36.56,Healthy
25.93,99.84,37.09,Healthy
39.67,99.48,36.7,Healthy
38.41,96.12,36.74,Healthy
38.42,99.38,36.18,Healthy
33.03,98.71,36.73,Healthy
30.2,96.71,36.45,Healthy
39.57,98.18,36.36,Healthy
39.9,97.59,36.92,Healthy
39.24,98.24,36.8,Healthy
35.52,96.74,36.27,Healthy
37.01,96.6,37.13,Healthy
30.18,96.28,36.55,Healthy
35.46,95.44,36.25,Healthy
29.75,96.58,36.53,Healthy
38.03,98.33,36.46,Healthy
39.18,99.33,37.08,Healthy
36.4,99.8,37.07,Healthy
33.05,96.72,36.85,Healthy
29,98.56,36.98,Healthy
29.34,95.55,36.76,Healthy
38.76,99.29,36.4,Healthy
36.16,97.83,36.83,Healthy
38.9,96.05,36.72,Healthy
29.9,98.89,36.22,Healthy
28.09,95.34,36.8,Healthy
35.8,99.42,37.08,Healthy
36.19,95.5,36.5,Healthy
38.46,98.33,36.34,Healthy
29.49,95.6,36.95,Healthy
30.69,98.48,36.27,Healthy
26.58,96.18,36.65,Healthy
39.43,99.54,36.41,Healthy
38.76,96.43,36.52,Healthy
33.62,99.89,36.96,Healthy
29.02,99.59,36.92,Healthy
33.28,98.27,36.87,Healthy
29.87,95.55,36.9,Healthy
32.45,98.34,36.62,Healthy
34.11,96.73,36.39,Healthy
26.29,97.83,36.8,Healthy
25.42,96.07,36.86,Healthy
33.68,99.74,36.92,Healthy
34.11,98.51,36.21,Healthy
30.73,97.48,36.66,Healthy
37.98,95.93,36.29,Healthy
39.63,97.18,36.19,Healthy
26.48,99.4,36.42,Healthy
28.38,99.58,36.68,Healthy
27.49,98.6,37.08,Healthy
26.65,97,36.14,Healthy
26.89,97.31,36.62,Healthy
30.53,97.67,36.29,Healthy
39.85,97.83,36.6,Healthy
29.3,95.28,36.98,Healthy
28.13,99.7,36.27,Healthy
39.63,97.11,36.19,Healthy
31.56,96.24,36.53,Healthy
32.77,98.17,37.13,Healthy
36.55,97.81,36.53,Healthy
30.85,96.34,36.64,Healthy
32.66,96.33,37.12,Healthy
32.04,99.7,36.62,Healthy
26.72,95.76,36.35,Healthy
26.46,96.34,36.57,Healthy
36.27,95.72,36.43,Healthy
39.74,97.48,36.23,Healthy
31.79,98.97,36.66,Healthy
28.46,97.86,36.68,Healthy
27.12,95.65,36.41,Healthy
28.84,95.48,36.42,Healthy
37.28,96.28,36.12,Healthy
28.92,96.67,37.15,Healthy
33.37,96.01,36.15,Healthy
26.35,95.85,36.14,Healthy
25.67,96.59,36.41,Healthy
34.44,99.92,37,Healthy
32.63,97.64,36.29,Healthy
27.42,95.13,36.46,Healthy
26.92,97.23,36.38,Healthy
25.61,97.34,36.11,Healthy
26.18,99.73,36.92,Healthy
31.64,97.91,36.8,Healthy
25.42,98.73,36.92,Healthy
38.23,96.69,36.13,Healthy
39.71,98.93,36.12,Healthy
32.05,95.54,36.7,Healthy
37.46,97.06,36.96,Healthy
33.95,95.84,36.23,Healthy
32.64,95.35,37.13,Healthy
33.79,98.37,36.78,Healthy
32.07,96.88,37.14,Healthy
29.92,99.38,36.48,Healthy
26.4,96.14,37.07,Healthy
37.44,99.54,36.47,Healthy
29.02,99.55,36.3,Healthy
36.87,97.7,36.75,Healthy
35.94,95.24,37.16,Healthy
35.75,99.5,36.26,Healthy
29.85,95.66,36.6,Healthy
28.4,99.65,36.92,Healthy
25.36,99.59,37.16,Healthy
39.38,97.95,36.35,Healthy
26.85,97.99,36.32,Healthy
31.79,97.96,36.91,Healthy
39.42,99.28,36.7,Healthy
38.85,96.32,36.86,Healthy
28.26,99.5,37.18,Healthy
39.57,97.33,36.87,Healthy
28.44,97.99,36.72,Healthy
26.05,97.95,36.52,Healthy
28.5,98.52,36.68,Healthy
29.66,98.05,36.87,Healthy
29.08,98.62,36.49,Healthy
26.4,95.14,36.91,Healthy
35.07,96.63,36.12,Healthy
36.4,99.77,36.39,Healthy
29.56,95.97,36.4,Healthy
33.58,95.95,36.14,Healthy
26.58,95.39,36.3,Healthy
39.93,98.2,36.51,Healthy
29.24,97.83,36.55,Healthy
33.94,97.78,37.04,Healthy
39.28,97.36,36.73,Healthy
33.53,97.27,36.64,Healthy
33.03,98.51,37.13,Healthy
37.97,99.94,37.11,Healthy
29.59,96.62,36.76,Healthy
31.33,98.67,36.78,Healthy
30.79,98.51,36.85,Healthy
25.45,96.3,36.73,Healthy
32.72,98.38,36.84,Healthy
38.52,95.57,36.32,Healthy
37.63,98.41,36.68,Healthy
34.64,95.91,36.47,Healthy
34.93,95.13,36.31,Healthy
27.42,97.26,36.31,Healthy
31.98,97.02,37.17,Healthy
26.14,96.25,36.18,Healthy
39.92,95.49,37.01,Healthy
39.37,95.29,37.05,Healthy
34.7,97.05,36.71,Healthy
26.58,98.76,36.74,Healthy
31.49,95.68,36.93,Healthy
31.95,99.78,36.75,Healthy
27.85,95.65,36.15,Healthy
35.68,96.15,36.96,Healthy
29.59,99.43,36.3,Healthy
36.21,98.26,36.5,Healthy
35.9,95.64,36.55,Healthy
39.9,99.79,36.14,Healthy
33.4,97.27,37.03,Healthy
36.55,98.28,36.65,Healthy
33.48,95.44,36.35,Healthy
29.35,98.73,36.86,Healthy
28.69,96.49,36.9,Healthy
33.21,95.16,36.32,Healthy
26.82,96.24,36.65,Healthy
34.79,95.58,36.92,Healthy
27.34,95.22,36.11,Healthy
29.98,95.27,36.55,Healthy
35.05,97.49,36.54,Healthy
35.83,97.33,36.21,Healthy
26.56,98.33,36.59,Healthy
26.07,99.12,36.54,Healthy
32.6,95.64,37.19,Healthy
31.27,96.84,36.82,Healthy
34.14,97.54,36.2,Healthy
31.42,98.08,36.13,Healthy
35.28,97.94,36.32,Healthy
32.44,99.14,37.02,Healthy
31.55,99.24,36.24,Healthy
27.92,99.99,36.96,Healthy
29,96.66,36.69,Healthy
36.27,96.19,36.41,Healthy
38.12,95.18,36.27,Healthy
36.68,98.73,36.24,Healthy
31.63,96.4,36.3,Healthy
37.74,99.15,36.72,Healthy
35.95,95.61,37.08,Healthy
32,98.84,36.94,Healthy
29.97,96.15,37.06,Healthy
28.46,95.37,37.01,Healthy
34.41,95.43,37.17,Healthy
31.9,97.13,36.86,Healthy
28.13,99.77,36.68,Healthy
35.38,95.01,36.41,Healthy
39.27,99.95,36.33,Healthy
35.53,96.17,36.14,Healthy
37.33,96.71,36.91,Healthy
39.46,98.7,36.15,Healthy
32.03,98.46,36.9,Healthy
39.79,98.18,36.21,Healthy
26.81,95.69,36.4,Healthy
26.48,99.52,36.63,Healthy
27.64,95.21,36.26,Healthy
34.57,95.58,36.17,Healthy
36.71,96.97,36.36,Healthy
34.16,99.51,36.49,Healthy
38.12,99.64,36.58,Healthy
29.56,95.04,36.56,Healthy
28.01,99.8,36.54,Healthy
35.65,95.86,36.56,Healthy
33.28,99.42,36.64,Healthy
36.84,95.92,36.68,Healthy
33.83,97.66,37.05,Healthy
38.44,98.32,36.13,Healthy
31.15,97.1,36.23,Healthy
30.28,95.79,36.48,Healthy
35.9,99.2,37.18,Healthy
39.66,99.45,36.19,Healthy
25.4,97.71,36.9,Healthy
36.58,98.77,36.34,Healthy
32.87,99.25,36.62,Healthy
29.77,96.91,36.88,Healthy
25.78,99.54,36.14,Healthy
35.02,97.12,36.18,Healthy
28.22,99.02,36.69,Healthy
32.22,95.99,36.82,Healthy
